average_song_duration_in_minitues,average_song_valience,date
3.4303587500000003,0.5468999999999998,2009-03-27
3.5719441666666665,0.578525,2009-04-03
3.695490170940171,0.5874102564102562,2009-04-10
3.6754425,0.5692499999999999,2009-04-17
3.7569958333333333,0.5929999999999997,2009-04-24
3.8635952991452993,0.5728948717948718,2009-05-01
3.7470786324786323,0.5991256410256409,2009-05-08
3.773573076923077,0.605228205128205,2009-05-15
3.7934987179487174,0.624228205128205,2009-05-22
3.8131520833333337,0.5978725,2009-05-29
3.7824091666666666,0.6004225,2009-06-05
3.8175924999999995,0.5840474999999999,2009-06-12
3.936170416666667,0.5501225,2009-06-19
3.94095125,0.5424225,2009-06-26
4.115525,0.5452724999999999,2009-07-03
4.305877499999999,0.5761249999999999,2009-07-10
4.163807916666666,0.5807749999999998,2009-07-17
4.018405416666667,0.6020999999999999,2009-07-24
3.910350833333333,0.5845999999999998,2009-07-31
3.861500833333333,0.5529999999999997,2009-08-07
3.841790170940171,0.5477179487179485,2009-08-14
3.9298706140350874,0.6140789473684208,2009-08-21
3.8623197368421054,0.6066842105263156,2009-08-28
3.7134508547008545,0.5920769230769231,2009-09-04
3.709681623931624,0.5807692307692306,2009-09-11
3.7644858974358972,0.6006666666666667,2009-09-18
3.7113162280701757,0.6361052631578948,2009-09-25
3.573891666666667,0.6152368421052631,2009-10-02
3.679240350877193,0.5945526315789473,2009-10-09
3.713002564102564,0.5986153846153845,2009-10-16
3.860113675213675,0.6145128205128204,2009-10-23
3.776959829059829,0.5854358974358974,2009-10-30
3.7818247863247865,0.5896923076923076,2009-11-06
3.8403125,0.5480750000000001,2009-11-13
3.8578587499999997,0.5662,2009-11-20
3.8024712499999995,0.5330999999999999,2009-11-27
3.8012404166666665,0.5130250000000001,2009-12-04
3.938505833333333,0.5471674999999999,2009-12-11
3.970885416666667,0.5536924999999998,2009-12-18
3.9307954166666668,0.5108074999999999,2009-12-25
3.851005128205128,0.5665307692307691,2010-01-01
3.896377777777778,0.5536589743589743,2010-01-08
3.769446153846154,0.5507128205128203,2010-01-15
3.7870059829059826,0.5263025641025639,2010-01-22
3.7174829059829055,0.5334051282051282,2010-01-29
3.742939743589744,0.5573025641025641,2010-02-05
3.7367649572649575,0.5576871794871795,2010-02-12
3.723036403508772,0.5383105263157894,2010-02-19
3.6942166666666667,0.536792105263158,2010-02-26
3.6386679824561403,0.5560447368421053,2010-03-05
3.5778461538461537,0.5226435897435898,2010-03-12
3.664559401709402,0.5341538461538462,2010-03-19
